[2026-04-09T16:03:04] watcher started pid=50216 goal=14376
[2026-04-09T16:03:05] clean_count=14241
[2026-04-09T16:03:37] clean_count=14245
[2026-04-09T16:04:09] clean_count=14249
[2026-04-09T16:04:41] clean_count=14253
[2026-04-09T16:05:13] clean_count=14257
[2026-04-09T16:05:44] clean_count=14261
[2026-04-09T16:06:16] clean_count=14265
[2026-04-09T16:06:48] clean_count=14269
[2026-04-09T16:07:19] clean_count=14273
[2026-04-09T16:07:51] clean_count=14277
[2026-04-09T16:08:23] clean_count=14280
[2026-04-09T16:08:54] clean_count=14283
[2026-04-09T16:09:26] clean_count=14286
[2026-04-09T16:09:58] clean_count=14288
[2026-04-09T16:10:29] clean_count=14292
[2026-04-09T16:11:01] clean_count=14296
[2026-04-09T16:11:33] clean_count=14298
[2026-04-09T16:12:05] clean_count=14301
[2026-04-09T16:12:36] clean_count=14303
[2026-04-09T16:13:08] clean_count=14305
[2026-04-09T16:13:40] clean_count=14307
[2026-04-09T16:14:11] clean_count=14309
[2026-04-09T16:14:43] clean_count=14311
[2026-04-09T16:15:15] clean_count=14313
[2026-04-09T16:15:47] clean_count=14315
[2026-04-09T16:16:18] clean_count=14317
[2026-04-09T16:16:50] clean_count=14319
[2026-04-09T16:17:22] clean_count=14321
[2026-04-09T16:17:54] clean_count=14323
[2026-04-09T16:18:25] clean_count=14325
[2026-04-09T16:18:57] clean_count=14327
[2026-04-09T16:19:29] clean_count=14329
[2026-04-09T16:20:01] clean_count=14331
[2026-04-09T16:20:32] clean_count=14332
[2026-04-09T16:21:04] clean_count=14334
[2026-04-09T16:21:36] clean_count=14336
[2026-04-09T16:22:07] clean_count=14338
[2026-04-09T16:22:39] clean_count=14339
[2026-04-09T16:23:11] clean_count=14341
[2026-04-09T16:23:42] clean_count=14343
[2026-04-09T16:24:14] clean_count=14345
[2026-04-09T16:24:46] clean_count=14347
[2026-04-09T16:25:17] clean_count=14349
[2026-04-09T16:25:49] clean_count=14351
[2026-04-09T16:26:21] clean_count=14353
[2026-04-09T16:26:52] clean_count=14355
[2026-04-09T16:27:24] clean_count=14357
[2026-04-09T16:27:56] clean_count=14359
[2026-04-09T16:28:27] clean_count=14361
[2026-04-09T16:28:59] clean_count=14363
[2026-04-09T16:29:31] clean_count=14365
[2026-04-09T16:30:02] clean_count=14367
[2026-04-09T16:30:34] clean_count=14369
[2026-04-09T16:31:06] clean_count=14371
[2026-04-09T16:31:38] clean_count=14373
[2026-04-09T16:32:09] clean_count=14374
[2026-04-09T16:32:41] clean_count=14375
[2026-04-09T16:33:13] clean_count=14376
[2026-04-09T16:33:13] stopped main process at clean_count=14376
