text_id,layer,semantic_emotion,margin,logit_semantic,logit_prosody,win_semantic,win_prosody,win_other,logit_neutral,logit_happy,logit_sad,logit_angry,logit_surprised,n_samples
t000,0,neutral,1.1694336,1.0751953,2.244629,0.0,0.25,0.75,1.0751953,7.0703125,0.9897461,0.17329025,1.0493164,4
t000,1,neutral,2.449463,1.0078125,3.4572754,0.0,0.25,0.75,1.0078125,8.6875,2.6445312,0.111816406,2.609375,4
t000,2,neutral,0.33215332,3.5117188,3.843872,0.0,0.25,0.75,3.5117188,8.65625,3.8203125,0.11730957,2.8007812,4
t000,3,neutral,1.8378906,3.8789062,5.716797,0.0,0.25,0.75,3.8789062,8.65625,6.296875,1.9316406,5.75,4
t000,4,neutral,1.0976562,2.5273438,3.625,0.0,0.25,0.75,2.5273438,5.0234375,2.921875,2.8242188,3.40625,4
t000,5,neutral,2.9370117,0.77783203,3.7148438,0.0,0.25,0.75,0.77783203,5.7421875,1.9550781,3.3984375,3.7851562,4
t000,6,neutral,2.0615234,1.3359375,3.397461,0.0,0.25,0.75,1.3359375,6.7265625,0.7636719,2.5273438,3.3945312,4
t000,7,neutral,3.498291,0.17993164,3.6782227,0.0,0.25,0.75,0.17993164,7.15625,0.34924316,3.6445312,3.515625,4
t000,8,neutral,3.114685,0.22369385,3.338379,0.0,0.25,0.75,0.22369385,6.640625,0.48168945,3.125,3.1367188,4
t000,9,neutral,3.5888672,-0.54003906,3.0488281,0.0,0.25,0.75,-0.54003906,6.1796875,-0.04046631,2.4023438,3.1171875,4
t000,10,neutral,3.165039,-0.38085938,2.7841797,0.0,0.25,0.75,-0.38085938,6.21875,-0.6376953,2.4960938,2.6640625,4
t000,11,neutral,4.0161133,-1.3632812,2.652832,0.0,0.25,0.75,-1.3632812,5.1171875,-0.5961914,2.7578125,2.9257812,4
t000,12,neutral,4.020508,-1.6054688,2.415039,0.0,0.25,0.75,-1.6054688,6.4921875,-0.74902344,1.5527344,2.0253906,4
t000,13,neutral,4.1012573,-1.8105469,2.2907104,0.0,0.25,0.75,-1.8105469,5.2734375,-0.116119385,1.0546875,2.5898438,4
t000,14,neutral,3.5908203,-1.2578125,2.3330078,0.0,0.25,0.75,-1.2578125,5.1171875,0.32885742,0.9375,2.84375,4
t000,15,neutral,3.71875,-1.7363281,1.9824219,0.0,0.25,0.75,-1.7363281,4.21875,0.4267578,0.5810547,2.6992188,4
t000,16,neutral,3.003418,-1.6074219,1.3959961,0.0,0.25,0.75,-1.6074219,3.953125,0.17800903,-0.95410156,2.2109375,4
t000,17,neutral,2.4074707,-1.0439453,1.3635254,0.0,0.25,0.75,-1.0439453,4.6015625,-0.9716797,-0.11437988,1.5625,4
t000,18,neutral,2.5761719,-1.1660156,1.4101562,0.0,0.25,0.75,-1.1660156,4.71875,-1.2929688,0.4663086,1.3007812,4
t000,19,neutral,3.4887085,-1.765625,1.7230835,0.0,0.25,0.75,-1.765625,5.953125,-1.0129395,0.038513184,0.7451172,4
t000,20,neutral,2.2333984,-2.0527344,0.18066406,0.0,0.25,0.75,-2.0527344,3.9765625,-2.5859375,-1.8183594,-0.32958984,4
t000,21,neutral,-1.3564453,1.5566406,0.20019531,0.0,0.25,0.75,1.5566406,3.6992188,-3.8945312,-2.4570312,0.61987305,4
t000,22,neutral,-0.14648438,0.88183594,0.73535156,0.0,0.25,0.75,0.88183594,3.7070312,-3.0283203,-1.9492188,0.9921875,4
t000,23,neutral,-1.3027344,3.3515625,2.0488281,0.0,0.25,0.75,3.3515625,5.0390625,-0.4765625,-2.0625,1.2050781,4
t000,24,neutral,1.5749512,0.31274414,1.8876953,0.0,0.5,0.5,0.31274414,3.5585938,1.7900391,-3.65625,-0.1159668,4
t000,25,neutral,-0.2421875,2.4453125,2.203125,0.25,0.5,0.25,2.4453125,3.1328125,0.2578125,-2.3203125,1.2045898,4
t000,26,neutral,-0.7763672,6.6015625,5.8251953,0.25,0.5,0.25,6.6015625,6.5078125,3.90625,0.7138672,2.9970703,4
t000,27,neutral,-1.1210938,7.21875,6.0976562,0.5,0.5,0.0,7.21875,6.453125,3.5683594,0.60058594,3.5390625,4
t000,28,neutral,-1.3515625,8.140625,6.7890625,0.5,0.5,0.0,8.140625,7.5703125,4.7695312,1.3925781,3.0898438,4
t000,29,neutral,3.4453125,7.5546875,11.0,0.0,0.5,0.5,7.5546875,7.6796875,6.7109375,2.328125,12.7109375,4
t000,30,neutral,5.515625,7.359375,12.875,0.0,0.75,0.25,7.359375,10.765625,8.0859375,4.2421875,12.5,4
t000,31,neutral,0.28125,11.90625,12.1875,0.25,0.5,0.25,11.90625,10.1328125,7.34375,4.3554688,12.390625,4
