layer,flip_to_target_rate,flip_from_base_rate,delta_logit_target_mean,eligible_count,n_pairs
0,0.62,0.57,5.84375,85,100
1,0.63,0.58,5.866875,85,100
2,0.63,0.57,5.875625,85,100
3,0.62,0.57,5.86125,85,100
4,0.62,0.57,5.84375,85,100
5,0.63,0.58,5.8225,85,100
6,0.65,0.58,5.805,85,100
7,0.64,0.57,5.786875,85,100
8,0.65,0.58,5.764375,85,100
9,0.63,0.57,5.6725,85,100
10,0.6,0.53,5.576875,85,100
11,0.57,0.5,5.485625,85,100
12,0.54,0.48,5.335,85,100
13,0.49,0.44,5.094375,85,100
14,0.49,0.43,4.9625,85,100
15,0.29,0.26,4.11625,85,100
16,0.27,0.26,3.830625,85,100
17,0.24,0.22,3.546875,85,100
18,0.19,0.14,2.64625,85,100
19,0.18,0.09,2.4625,85,100
20,0.18,0.08,2.3475,85,100
21,0.18,0.09,2.18375,85,100
22,0.17,0.07,1.94125,85,100
23,0.17,0.07,1.73375,85,100
24,0.16,0.05,1.49625,85,100
25,0.16,0.04,0.935,85,100
26,0.14,0.05,0.64125,85,100
27,0.14,0.06,0.571875,85,100
28,0.13,0.05,0.559375,85,100
29,0.14,0.04,0.471875,85,100
30,0.13,0.04,0.341875,85,100
31,0.13,0.04,0.315625,85,100
32,0.14,0.01,0.155,85,100
33,0.15,0.0,0.049375,85,100
34,0.15,0.01,0.031875,85,100
35,0.15,0.0,0.0,85,100
