semantic_acc,semantic_acc_std,semantic_f1,prosody_acc,prosody_acc_std,prosody_f1,dominance,semantic_acc_conflict,prosody_acc_conflict,dominance_conflict,layer
0.6555,0.0649,0.6417,0.8420,0.0327,0.8422,0.1865,0.6341,0.8424,0.2083,0
0.6513,0.0707,0.6334,0.8258,0.0441,0.8265,0.1744,0.6288,0.8272,0.1983,1
0.6474,0.0681,0.6308,0.8420,0.0397,0.8428,0.1945,0.6341,0.8474,0.2133,2
0.6474,0.0740,0.6318,0.8299,0.0334,0.8304,0.1824,0.6341,0.8323,0.1982,3
0.6234,0.0716,0.5867,0.8299,0.0358,0.8318,0.2064,0.6242,0.8323,0.2081,4
0.6194,0.0609,0.5758,0.8340,0.0232,0.8354,0.2146,0.6244,0.8426,0.2182,5
0.6638,0.0991,0.6187,0.8339,0.0164,0.8335,0.1700,0.6647,0.8373,0.1726,6
0.6558,0.0757,0.6138,0.8340,0.0328,0.8332,0.1782,0.6445,0.8323,0.1878,7
0.7131,0.1042,0.6769,0.8217,0.0247,0.8208,0.1087,0.7062,0.8169,0.1108,8
0.7416,0.1046,0.7033,0.8135,0.0426,0.8137,0.0719,0.7368,0.8067,0.0699,9
0.7820,0.1142,0.7391,0.8256,0.0450,0.8245,0.0436,0.7723,0.8218,0.0495,10
0.7900,0.0980,0.7474,0.8093,0.0488,0.8089,0.0193,0.7824,0.8117,0.0292,11
0.7981,0.0922,0.7547,0.8133,0.0579,0.8126,0.0152,0.7874,0.8117,0.0242,12
0.7900,0.1007,0.7451,0.7971,0.0528,0.7958,0.0072,0.7823,0.7914,0.0091,13
0.7940,0.0998,0.7481,0.8013,0.0482,0.8002,0.0073,0.7771,0.7864,0.0094,14
0.7819,0.0980,0.7314,0.7809,0.0567,0.7816,-0.0010,0.7721,0.7710,-0.0010,15
0.8021,0.0823,0.7552,0.7890,0.0639,0.7909,-0.0131,0.7873,0.7760,-0.0113,16
0.7981,0.0805,0.7516,0.7971,0.0575,0.7964,-0.0011,0.7823,0.7812,-0.0012,17
0.8023,0.0856,0.7616,0.7851,0.0433,0.7848,-0.0172,0.7927,0.7713,-0.0214,18
0.7818,0.0751,0.7383,0.7811,0.0318,0.7795,-0.0007,0.7671,0.7764,0.0094,19
0.7536,0.0886,0.7119,0.7932,0.0365,0.7919,0.0397,0.7367,0.7918,0.0551,20
0.7618,0.0963,0.7202,0.7891,0.0435,0.7899,0.0273,0.7471,0.7814,0.0344,21
0.7739,0.0905,0.7453,0.7771,0.0351,0.7763,0.0033,0.7723,0.7663,-0.0060,22
0.7777,0.0900,0.7466,0.7689,0.0505,0.7681,-0.0088,0.7671,0.7559,-0.0112,23
0.7699,0.0837,0.7377,0.7727,0.0688,0.7746,0.0029,0.7421,0.7606,0.0186,24
0.8022,0.0870,0.7781,0.7890,0.0651,0.7904,-0.0132,0.7877,0.7760,-0.0117,25
0.8183,0.0737,0.7927,0.7769,0.0855,0.7798,-0.0414,0.8078,0.7609,-0.0469,26
0.8304,0.0919,0.8145,0.8010,0.0839,0.8017,-0.0295,0.8128,0.7860,-0.0268,27
0.8101,0.0817,0.7891,0.7891,0.0711,0.7882,-0.0211,0.7976,0.7660,-0.0315,28
0.7739,0.0857,0.7568,0.7850,0.0624,0.7870,0.0111,0.7421,0.7659,0.0238,29
0.7740,0.0789,0.7578,0.7809,0.0673,0.7838,0.0069,0.7473,0.7608,0.0135,30
0.7495,0.0614,0.7313,0.7727,0.0809,0.7753,0.0233,0.7267,0.7556,0.0290,31
0.7333,0.0721,0.7163,0.7688,0.0675,0.7683,0.0355,0.7064,0.7559,0.0495,32
0.7007,0.0710,0.6898,0.7647,0.0652,0.7632,0.0641,0.6756,0.7509,0.0753,33
0.6967,0.0715,0.6756,0.7568,0.0571,0.7563,0.0602,0.6604,0.7510,0.0906,34
0.7371,0.0654,0.7245,0.7242,0.0629,0.7243,-0.0129,0.7113,0.7204,0.0091,35
